id,X,Y,Z,Esrio,NUMPOINTS
1663,327556,1856763,523,0,0
1664,327556,1856753,528,0,0
1665,327556,1856743,528,0,0
1666,327556,1856733,533,0,0
1667,327556,1856723,537,0,0
1668,327556,1856713,537,0,0
1669,327556,1856703,540,0,0
1670,327556,1856693,544,0,0
1671,327556,1856683,544,0,0
1672,327556,1856673,547,0,0
1673,327556,1856663,550,0,0
1674,327556,1856653,550,0,0
1675,327556,1856643,552,0,0
1676,327556,1856633,553,0,0
1677,327556,1856623,553,0,0
1678,327556,1856613,555,0,0
1679,327556,1856603,556,0,0
1680,327556,1856593,556,0,0
1681,327556,1856583,556,0,0
1682,327556,1856573,557,0,0
1683,327556,1856563,557,0,0
1684,327556,1856553,558,0,0
1685,327556,1856543,558,0,0
1729,327566,1856913,492,2,0
1730,327566,1856903,491,11,0
1731,327566,1856893,491,0,0
1732,327566,1856883,491,0,0
1733,327566,1856873,491,0,0
1734,327566,1856863,491,0,0
1735,327566,1856853,491,0,0
1736,327566,1856843,491,0,0
1737,327566,1856833,491,0,0
1738,327566,1856823,496,0,0
1739,327566,1856813,502,0,0
1740,327566,1856803,502,0,0
1741,327566,1856793,510,0,0
1742,327566,1856783,518,0,0
1743,327566,1856773,518,0,0
1744,327566,1856763,523,0,0
1745,327566,1856753,528,0,0
1746,327566,1856743,528,0,0
1747,327566,1856733,533,0,0
1748,327566,1856723,537,0,0
1749,327566,1856713,537,0,0
1750,327566,1856703,540,0,0
1751,327566,1856693,544,0,0
1752,327566,1856683,544,0,0
1753,327566,1856673,547,0,0
1754,327566,1856663,550,0,0
1755,327566,1856653,550,0,0
1756,327566,1856643,552,0,0
1757,327566,1856633,553,0,0
1758,327566,1856623,553,0,0
1759,327566,1856613,555,0,0
1760,327566,1856603,556,0,0
1761,327566,1856593,556,0,0
1762,327566,1856583,556,0,0
1763,327566,1856573,557,0,0
1764,327566,1856563,557,0,0
1765,327566,1856553,558,0,0
1766,327566,1856543,558,0,0
1810,327576,1856913,490,11,0
1811,327576,1856903,490,0,0
1812,327576,1856893,490,0,0
1813,327576,1856883,489,0,0
1814,327576,1856873,489,0,0
1815,327576,1856863,489,0,0
1816,327576,1856853,489,0,0
1817,327576,1856843,489,0,0
1818,327576,1856833,489,0,0
1819,327576,1856823,495,0,0
1820,327576,1856813,501,0,0
1821,327576,1856803,501,0,0
1822,327576,1856793,509,0,0
1823,327576,1856783,517,0,0
